Video ID,Title,Views,Likes,Comments,Thumbnail URL,Extracted Text,Sentiment Polarity,Sentiment Subjectivity,Image Format,Width,Height,Resolution,Aspect Ratio,Brightness,Contrast,Saturation,Hue,Estimated Gamma,Sharpness,White Balance Deviation,Exposure,Face Present,Num Faces,Face Size Ratios,Dominant Emotions
xXhibR-I_aU,Rare Love for Rare Ones,4,1,0,https://i.ytimg.com/vi/xXhibR-I_aU/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,67.20590856481482,54.710019255955395,43.28119212962963,53.17157986111111,1.9238372654789018,631.8001273136091,5.442853009259252,67.20590856481482,False,0,,
FKdz2zy8zIk,Celebrate love in timeless style with Rare Rabbit,75,1,0,https://i.ytimg.com/vi/FKdz2zy8zIk/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,53.016869212962966,37.33490183230435,105.57892939814815,20.849780092592592,2.2659738642275356,249.121766298011,24.260607638888885,53.016869212962966,False,0,,
GuVQvJF_85U,UN JOUR - SEASON 2,4793,14,0,https://i.ytimg.com/vi/GuVQvJF_85U/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,80.30267939814814,69.55211658218293,100.15194444444444,22.421799768518518,1.6669772161226708,339.7291238934971,27.63610532407408,80.30267939814814,False,0,,
nWWfOnGnCaY,"Ludhiana, Step Into Rare! Buy 1, Get 1 Free – 14th Feb Only",24588,1,0,https://i.ytimg.com/vi/nWWfOnGnCaY/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,79.45396990740741,80.20408660751265,37.703848379629626,19.77328125,1.6823060365242772,705.9745768421733,7.371805555555554,79.45396990740741,False,0,,
9HEUV3HwCpw,Here’s how Rare x Indian Sneaker Festival 2025 went!,2162,68,1,https://i.ytimg.com/vi/9HEUV3HwCpw/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,67.01040509259259,66.73331196978215,55.085277777777776,42.96855902777778,1.928040213416436,367.85017899292166,6.99475694444444,67.01040509259259,False,0,,
yJ4qhKEzq1o,Rare Rabbit X Senab,491,21,0,https://i.ytimg.com/vi/yJ4qhKEzq1o/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,136.01521412037036,93.1457823877839,10.683645833333333,19.653541666666666,0.9067292124586556,521.7054861111111,2.0095717592592734,136.01521412037036,False,0,,
hgFFNy3Q6Lw,SS 25 |  Un Jour: Season 2 (A day) | The House of Rare,89629,45,0,https://i.ytimg.com/vi/hgFFNy3Q6Lw/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,43.41084490740741,47.97452970528777,101.34543981481481,36.8230150462963,2.5543698398629773,241.0902703845366,18.704890046296292,43.41084490740741,False,0,,
QlZ8hph_AB0,SS 25 |  Un Jour: Season 2 (A day) | The House of Rare,164344,2044,0,https://i.ytimg.com/vi/QlZ8hph_AB0/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,64.05103587962962,53.52532753905449,137.13988425925925,23.850376157407407,1.9932034389093383,120.53598363219626,38.63867476851853,64.05103587962962,True,1,0.0317,error
XiIw6-ZRMs8,SS 25 |  Un Jour: Season 2 (A day) | The House of Rare,466991,53,0,https://i.ytimg.com/vi/XiIw6-ZRMs8/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,57.79017939814815,65.54788809626022,85.98379050925926,14.820081018518518,2.1416009934904605,79.51238425925926,29.90784143518519,57.79017939814815,True,1,0.0469,error
tRw6gWa9tiE,Siddharthkerkar X Rare Rabbit,51825,264,0,https://i.ytimg.com/vi/tRw6gWa9tiE/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,51.62064814814815,40.44409312324095,48.422407407407405,19.55697337962963,2.304477085966799,389.05306071402265,11.52853587962963,51.62064814814815,True,1,0.0326,error
